Country,Tweet Count
Canada,35
Turkey,1
Italy,4
Northern Mariana Islands,1
Afghanistan,1
Viet Nam,1
Panama,2
Nepal,1
Lithuania,1
France,3
Bahamas,1
Georgia,2
Peru,1
Czech Republic,1
Bahrain,1
Australia,14
Singapore,11
El Salvador,1
China,5
Chile,2
Kuwait,1
Belgium,2
Germany,2
Dominican Republic,1
Kazakhstan,1
Poland,1
Spain,2
Ireland,1
Finland,1
Philippines,31
Indonesia,13
United States,397
Morocco,1
Sweden,1
Gabon,1
Thailand,1
New Zealand,6
Brazil,1
Jamaica,2
Estonia,1
Mexico,1
Egypt,215
Guam,1
South Africa,7
India,6
Brunei Darussalam,1
United Kingdom,58
Malaysia,23
Colombia,1
Japan,2
Fiji,1
