Date,Location,Country,Text,Sentiment
Fri May 14 15:52:10 PDT 2010,Japan,Japan,Good morning. Today's #breakfast are 2 pieces of egg sandwiches and bergamot&orange flavored tea. Not… http://t.co/ovntUDMTUj,neutral
Fri Sep 20 14:03:02 PDT 2013,NIL,Egypt,What's for #dinner? Here's an idea! THe Perfect Chicken http://t.co/QGzal5EMY7 ##thisiswhyimfull,pos
Fri Sep 20 14:10:35 PDT 2013,NIL,Egypt,Yum #dinner is Chicken Piccata http://t.co/ZvXv1mb6c2 ##thisiswhyimfull,pos
Thu Aug 05 12:53:15 PDT 2010,Toronto,Canada,"#dinner time. Chicken stir fry with asparagus and kale with onion, garlic and seasoned with mrs dash… http://t.co/Dsqp2ioR7t",pos
Tue Mar 17 12:07:05 PDT 2015,So Cal,Italy,Sticky Honey & Soy Pork Chops. #recipes #meat #pork #dinner http://t.co/g9xdL1g0Jp,neg
Mon Aug 08 12:10:40 PDT 2011,Where we do it big. ,United States,Chicken stir fry for dinner #food #foodporn #dinner #chickenstiryfry #youcantcooklikeme http://t.co/tSk538YOmc,pos
Wed Jun 23 18:45:25 PDT 2010,"Brooklyn, NY",United States,"Dinner was bangin! Parmesan crusted chicken breasts, sweet potato puffs and broccoli :) #yum #dinner… http://t.co/staE6AwGcd",pos
Mon Apr 06 20:19:59 PDT 2015,New Jersey | Philadelphia,United States,Pan seared tofu anyone? #wildwednesday #dinner,neg
Wed Feb 17 16:45:42 PST 2010,#MaiWorld #757 #DMV,global,A lil wine to set it off right #culinaryswag #AfricanMeal #dinner http://t.co/2FIqyoDGyl,neg
Thu Sep 02 18:41:05 PDT 2010,Jerz,United States,Chicken fn Parm #nomnomnom #dinner http://t.co/wZVwhTEAQZ,pos
Wed Jul 11 15:53:36 PDT 2012,"Oakland, California",United States,My #dinner at #chinavillage at #albany 😍❤️#foodporn #eyegasm #delicious #family @ China Village… http://t.co/q4uw0YkFWy,pos
Tue Sep 22 13:02:17 PDT 2015,Maryland,United States,"Over the past two days I’ve had Mexican, Italian, Chinese and Thai food. What should I have for dinner tonight? #dinner #food",neg
Thu Mar 27 19:12:50 PDT 2008,"Memphis, TN",United States,"Roasted pork tenderloin with Shallots, craisins, walnuts & apples #dinner #ChefDan #goahead&hate http://t.co/LR738KoROQ",neutral
Thu Nov 17 09:04:14 PST 2011,NIL,Egypt,Steamed veggies Grill chicken & grill steak & Rice with side Koolaid #FatTweet #Dinner #Yum,pos
Tue Aug 02 19:33:07 PDT 2011,NIL,Egypt,Chicken Sausage Shrimp & Ground Meat Spaghetti #Dinner,neg
Thu May 10 17:44:10 PDT 2012,atlantis,United States,RT @ThuggTypa_Gal: Steamed veggies Grill chicken & grill steak & Rice with side Koolaid #FatTweet #Dinner #Yum,pos
