Country,Positive,Negative,Neutral,Total
United States,232,87,78,397
Egypt,134,48,33,215
United Kingdom,37,11,10,58
Canada,23,6,6,35
Philippines,20,6,5,31
Malaysia,16,3,4,23
Australia,9,0,5,14
Indonesia,8,1,4,13
Singapore,4,4,3,11
South Africa,4,2,1,7
New Zealand,4,1,1,6
India,4,1,1,6
Italy,1,1,2,4
France,3,0,0,3
Panama,1,0,1,2
Georgia,1,0,1,2
Germany,2,0,0,2
Chile,1,1,0,2
Belgium,0,1,1,2
Spain,0,1,1,2
Jamaica,1,1,0,2
Japan,0,1,1,2
Turkey,0,1,0,1
Northern Mariana Islands,1,0,0,1
Afghanistan,0,0,1,1
Viet Nam,1,0,0,1
Lithuania,1,0,0,1
Bahamas,1,0,0,1
Peru,1,0,0,1
Czech Republic,1,0,0,1
Bahrain,0,1,0,1
El Salvador,1,0,0,1
Kuwait,1,0,0,1
Thailand,0,1,0,1
Dominican Republic,1,0,0,1
Kazakhstan,1,0,0,1
Poland,1,0,0,1
Ireland,1,0,0,1
Finland,1,0,0,1
Country,0,0,0,1
Morocco,0,0,1,1
Sweden,0,0,1,1
Gabon,1,0,0,1
Nepal,1,0,0,1
Brazil,0,1,0,1
Estonia,1,0,0,1
Mexico,1,0,0,1
Guam,0,1,0,1
Brunei Darussalam,1,0,0,1
Colombia,0,0,1,1
Fiji,1,0,0,1
