Country,Tweet Count
Canada,88
Brazil,3
Italy,55
Czech Republic,5
Cuba,1
Kenya,6
Kuwait,7
Panama,1
Guyana,3
Costa Rica,2
Luxembourg,2
France,11
Georgia,3
Ireland,5
Argentina,1
Norway,3
Thailand,4
Ecuador,1
Bangladesh,1
Bahrain,10
Viet Nam,2
Israel,3
Australia,33
Singapore,13
Turkey,10
"Iran, Islamic Republic of",1
Guatemala,1
Germany,8
Chile,1
Denmark,2
Russian Federation,3
Jordan,1
Belize,1
Spain,6
Ukraine,3
Netherlands,5
Jamaica,2
Oman,1
Philippines,28
Indonesia,31
Saudi Arabia,7
Equatorial Guinea,2
United States,582
Paraguay,2
Sweden,5
Finland,3
Mali,1
New Zealand,4
"Taiwan, Province of China",1
Nepal,3
Pakistan,49
Romania,1
Iraq,1
Honduras,1
Portugal,2
Mexico,4
Egypt,368
United Arab Emirates,18
Uruguay,2
India,16881
Lebanon,2
South Africa,10
United Kingdom,186
Malaysia,50
China,3
Colombia,6
Sri Lanka,3
Japan,10
Fiji,2
