Date,Location,Country,Text,Sentiment
Fri Mar 29 15:00:36 PDT 2013,"Palo Alto, CA",United States,Time for #lunch! Forget that boring sandwich & eat w/ us. Our generous buffet features savory spreads of North & South inspired Indian Fare.,neg
Mon Mar 21 05:55:27 PDT 2011,Atlanta,United States,Tikka Masala Chicken anyone?  #middleeastern #Indian #tikkamasala #yummy #dinner #cooking http://t.co/Gkp3Hsswne,pos
Fri Mar 18 18:22:48 PDT 2011,New York,United States,Not a very photogenic #dinner but definitely a veggie-licious one! #Vegetable masala burger from… http://t.co/oiwHJSVeGj,neg
Tue Dec 28 15:09:43 PST 2010,World,United States,RT @Hungry_Runner: Not a very photogenic #dinner but definitely a veggie-licious one! #Vegetable masala burger from… http://t.co/oiwHJSVeGj,neg
Fri Jul 01 20:11:11 PDT 2011,United States,United States,Chicken Makhni ! #dinner,neg
Thu Mar 05 05:28:56 PST 2009,"Charleston, West Virginia",United States,Melon Lassi Coffee Cake from @TheJazzyGourmet (Link 50) http://t.co/P6lBwoixPh #cakerecipe #breakfast,pos
Thu Mar 05 05:28:56 PST 2009,Down South,Japan,Kala mo ikaw lang ha!! Look aliialfaraj #breakfast 🍞🍌🍯😜👍 http://t.co/qWd6q6g21r,neg
Tue Jun 12 22:14:05 PDT 2012,Down South,Japan,Photo: Kala mo ikaw lang ha!! Look @aliialfaraj #breakfast 🍞🍌🍯😜👍 http://t.co/7XGeLMq1MA,neg
Sat Sep 08 23:04:39 PDT 2012,london E9,Israel,#breakfast!!!!! #masaladosa and #masalachai @ Nazim Indian Restaurant http://t.co/F2hqMfCZtF,pos
Fri May 14 15:52:10 PDT 2010,India,India,My most favorite South Indian #breakfast is Rava Dosa. Many readers had written to me asking how to make hotel... http://t.co/MBVTqteOnz,neutral
Wed Dec 16 11:07:16 PST 2009,In the cooler on the shelf...,United States,Late night dinner...Best Indian cuisine I've had yet. #toronto #canada #indian #restaurant #dinner… http://t.co/JaxIUnaOJa,pos
Tue Nov 13 16:59:03 PST 2012,NIL,Egypt,Halwa puri #BreakFast :),pos
Sun Nov 20 06:04:17 PST 2011,"Bandar Buķit Mahkota, Bangi",United States,Jemput tgk! #lunch #foodporn @ Mr. Kabab & Biryani http://t.co/lEFJ3jTyEZ,pos
Sat Jun 19 14:29:23 PDT 2010,Adelaide Hills,United States,Indian Coconut Prawn Curry with Basmati Rice. #cleaneating #cleaneats #healthy #dinner #tea #fitlife… http://t.co/pjmDDUbBXV,neg
Wed Jun 13 07:34:57 PDT 2012,London,United Kingdom,Breakfast heaven. Bacon Naan dishoom on #shoreditch #LondonBreakfast #LondonEats #breakfast http://t.co/9ZJqGPoTM1,neg
Thu Aug 23 00:00:31 PDT 2012,London Town,United States,Ginger Pig Bacon naan dishoom #breakfast http://t.co/5XSvDqFC6R,neutral
Fri Sep 20 14:03:02 PDT 2013,London Town,United States,Ginger Pig Bacon naan @dishoom #breakfast http://t.co/5XSvDqFC6R,neutral
Fri Sep 20 14:10:35 PDT 2013,London,United Kingdom,Bacon naan roll with Ginger Pig rashers this morning at dishoom #bacon #pork #breakfast @ Dishoom http://t.co/LqxETxcLJl,pos
Sun Jan 22 23:51:19 PST 2012,123 snowsfields - se1 3st,United Kingdom,"On The Bill of Fare today - Cumberland ring with mash, red onion chutney and gravy #bermondseyst #theshard  #lunch http://t.co/fcV8EfvXOF",pos
Tue Nov 15 06:34:41 PST 2011,"Sydney, Australia.",Australia,Indian with arundel. So good. #dinner #datenight #indian #warmfoodcoldnight http://t.co/9ZiPphAfwz,neutral
Sun Aug 05 00:25:02 PDT 2012,NIL,Egypt,Tandoori chicken salad wrap and a fresh oj :) #lunch,neutral
Sat May 01 08:17:04 PDT 2010,"Mumbai, India.",India,Indian #breakfast fancied up with some #cheese and #chilliflakes @ http://t.co/WULZ7YZ8W3 http://t.co/iGTGCmQPNI,pos
Mon Feb 21 22:30:09 PST 2011,London,United Kingdom,"Rushed, tired, got to eat. Masala scrambled eggs #lunch #vegetarian http://t.co/DODFcEIkBz",neg
Sat Feb 12 17:16:37 PST 2011,"Lindenhurst, Newyork",United States,Is Indian breakfast for me and Jake... #adai #breakfast http://t.co/yNaLbfQUG7,pos
Mon Jun 15 17:58:58 PDT 2009,US HISPANIC,United States,Get to know the delicious Indian food that will be in #Miami during October http://t.co/p9HdiJra2G #yummy #dinner,pos
Fri Jun 03 16:26:58 PDT 2011,Miami and Everywhere,United States,Get to know the delicious Indian food that will be in #Miami during October http://t.co/fbhqtLWqLn #yummy #dinner,pos
Mon Feb 22 17:32:13 PST 2010,South Beach✈2✈Viva Las Vegas,United States,RT @latinblah: Get to know the delicious Indian food that will be in #Miami during October http://t.co/p9HdiJra2G #yummy #dinner,pos
Mon Jul 18 16:33:57 PDT 2011,"Miami, FL",United States,RT @latinblah: Get to know the delicious Indian food that will be in #Miami during October http://t.co/p9HdiJra2G #yummy #dinner,pos
Tue Jul 30 11:03:19 PDT 2013,"Miami, FL",United States,RT @astriddrivera: Get to know the delicious Indian food that will be in #Miami during October http://t.co/fbhqtLWqLn #yummy #dinner,pos
Mon Jan 03 08:21:29 PST 2011,New York / Guyana,United States,Enjoying a curry chicken and puri #lunch#delicious#yummy#Guyana#guyanese#Roti#iPhone#GT#GV http://t.co/7UfsGZ9wAj,pos
Tue May 12 05:34:09 PDT 2009,NIL,Egypt,RT @latinblah: Get to know the delicious Indian food that will be in #Miami during October http://t.co/p9HdiJra2G #yummy #dinner,pos
Fri Apr 09 21:09:06 PDT 2010,"New York, Chicago",United States,Tandoori spiced chicken & crispy cauliflower. Yesterday's dinner = today's lunch. #YUM #eat #lunch http://t.co/SAbdyOASEU,pos
