Country,Tweet Count
Canada,1179
Turkmenistan,10
Montenegro,1
Lithuania,10
Bahamas,13
Fiji,3
Argentina,52
Cameroon,1
Ghana,2
Saudi Arabia,47
Slovenia,15
Guatemala,16
Bosnia and Herzegovina,1
Guinea,1
Russian Federation,26
Germany,183
Spain,193
Liberia,4
Netherlands,130
Jamaica,25
Oman,5
Seychelles,2
Gabon,2
Cambodia,5
Monaco,1
New Zealand,52
Yemen,3
Jersey,14
Pakistan,52
Albania,3
Ethiopia,1
United Arab Emirates,54
Guam,19
India,156
Azerbaijan,4
Kenya,11
Tajikistan,1
Turkey,46
Afghanistan,2
Czech Republic,34
Solomon Islands,1
Viet Nam,19
France,154
Syrian Arab Republic,2
Bermuda,1
Slovakia,10
Somalia,1
Peru,17
Norway,27
Malawi,5
Singapore,347
"Iran, Islamic Republic of",4
Saint Kitts and Nevis,1
China,68
Dominican Republic,28
Ukraine,12
Bahrain,4
Finland,18
Indonesia,576
Central African Republic,3
United States,12097
Sweden,85
Belarus,20
Guyana,1
Mali,1
Bulgaria,11
"Palestine, State of",3
Romania,11
Portugal,61
South Africa,133
Nicaragua,2
Brunei Darussalam,10
"Venezuela, Bolivarian Republic of",63
Malaysia,484
Austria,30
Hungary,17
Brazil,76
Kuwait,35
Panama,30
"Korea, Republic of",44
Costa Rica,6
Luxembourg,5
Andorra,1
Ireland,86
Palau,1
Nigeria,18
Ecuador,16
Bangladesh,5
"Macedonia, Republic of",2
Australia,518
Algeria,1
El Salvador,12
Marshall Islands,1
Chile,51
Belgium,64
Thailand,84
Iraq,2
Georgia,17
Denmark,30
Poland,42
Morocco,5
Croatia,32
Guernsey,1
Switzerland,13
"Taiwan, Province of China",26
Isle of Man,1
"Tanzania, United Republic of",2
Estonia,2
Uruguay,3
Equatorial Guinea,8
Lebanon,13
Uzbekistan,1
Tunisia,6
Holy See (Vatican City State),8
Colombia,68
Cyprus,6
Barbados,6
Qatar,21
Italy,462
"Bolivia, Plurinational State of",2
Nepal,14
Malta,1
Maldives,2
Suriname,1
Turks and Caicos Islands,1
Israel,15
Papua New Guinea,1
Trinidad and Tobago,16
Zimbabwe,1
Jordan,5
Kazakhstan,2
Philippines,1037
Kyrgyzstan,4
Paraguay,15
Latvia,27
Japan,81
Honduras,4
Myanmar,1
Mexico,171
Egypt,7785
Liechtenstein,1
Cuba,2
Serbia,9
United Kingdom,1656
Greece,19
Sri Lanka,8
Namibia,3
