Date,Location,Country,Text,Sentiment
Mon Sep 09 12:42:38 PDT 2013,Sydney,Australia,Hummus on Bread for my dinner #classy #dinner #lovemynewpants http://t.co/crILd4pc5f,pos
Mon Mar 30 09:12:47 PDT 2015,"Stockholm, Sweden",Sweden,Fynd ur frysen blev succélunch! Hemtrillade falafel (falaflar?) med en ljummen tomatsallad med cous-cous och vitlöksmajonnäs. #Lunch,neg
Mon Jan 09 22:20:56 PST 2012,London,United Kingdom,Chargrilled poussin with hummus & pomegranate.. #healthy #lunch #savagesalads #delicious http://t.co/5fqiQ8B1Gj,pos
Sun Aug 05 19:18:35 PDT 2012,"Fulham, London",United Kingdom,RT @Capital_Cooking: Fattoush salad served alongside moussaka for our lunch @huntigerphoto studio today. #fresh #lunch http://t.co/vkfldNqf…,pos
Sun Apr 08 04:17:58 PDT 2012,Philippines,Philippines,One large shawarma and a plate full of shawarma rice. A fighter's diet #dinner,neutral
Tue Jan 19 20:25:30 PST 2010,"Hoboken,NJ",United States,Spinach and homemade falafel salad #dinnerporn #foodporn #dinner #iphone #rise #filter http://t.co/VBwCaKr34I,pos
Mon Sep 12 08:33:47 PDT 2011,"John Bright St, Birmingham",United Kingdom,Cheeky little lunch menu from soulfoodproject! The Halloumi wrap is delicious! #lunch #menu #soulfood… http://t.co/ZViLMDtp8Z,pos
Tue Mar 12 03:25:21 PDT 2013,"Belfast, Northern Ireland",United Kingdom,Halloumi and chilli salad for lunch #yummy #lunch http://t.co/jS9uYqSteg,pos
Tue Oct 25 06:41:30 PDT 2011,NIL,Egypt,Falafel and salad🍃😍 #salad #diet #dinner #vegan #veggie #veganism #vegetable #vegetarian #falafel… http://t.co/F1AdUu2xLk,neutral
Mon Nov 08 04:31:31 PST 2010,"Brooklyn, NY",United States,"1 boiled egg, fresh lettuce, half tomato with hummus dressing #breakfast #fitness #health… http://t.co/mwwd5ucgNa",pos
Wed Nov 03 13:38:42 PDT 2010,"Miami, FL",United States,"RT @najwamoses: 1 boiled egg, fresh lettuce, half tomato with hummus dressing #breakfast #fitness #health… http://t.co/mwwd5ucgNa",neutral
Mon Aug 29 06:29:12 PDT 2011,NIL,Egypt,Here's a closer look inside. Sorry I couldn't help myself. Falafel king. #maoz #lunch #tdbank… http://t.co/IqXDtlxItu,neg
Sun Jul 24 10:08:10 PDT 2011,NIL,Egypt,Photo: Here’s a closer look inside. Sorry I couldn’t help myself. Falafel king. #maoz #lunch #tdbank... http://t.co/7hENS3qhbX,neg
Mon Jul 12 00:42:37 PDT 2010,NoneeofYaFxckinggBusiness,United States,Chicken Shawarma Fries and Pop #Lunch I was Starvingg lOl http://t.co/XHE0hXJMvB,pos
Mon Jan 17 10:58:17 PST 2011,NIL,Egypt,#Lunch Lentil Soup & Falafel #inmibellyalready:) http://t.co/U4SfVlYfRE,neutral
Wed Feb 17 02:39:43 PST 2010,NIL,Egypt,Greek falafel salad #lunch http://t.co/NLgXza3PcV,pos
Sun Oct 18 05:27:49 PDT 2015,"Manila, Philippines",Philippines,"Lamb, hummus and roka salata #bobsandbebs #dinner @ Greeka Kouzina http://t.co/MdFlCbYYRb",neg
Tue Mar 26 12:52:21 PDT 2013,"Seoul, South Korea","Korea, Republic of",Shawarma for my tummy!! :) yay! #misterkebab #shawarma #lunch 👍🐮😊 http://t.co/xyo6546u1I,pos
Sat Mar 28 17:19:42 PDT 2015,NIL,Egypt,#lunch for the day # Shawarma #beefmeat #nomnom #delicious #foodie http://t.co/0fzphvIBYE,pos
